date,crop,price
2025-08-20,rice,44.2
2025-08-21,rice,44.0
2025-08-22,rice,43.8
2025-08-23,rice,44.5
2025-08-24,rice,44.1
2025-08-25,rice,43.9
2025-08-26,rice,44.3
2025-08-27,rice,44.0
2025-08-28,rice,43.7
2025-08-29,rice,44.2
2025-08-30,rice,44.4
2025-08-31,rice,43.8
2025-09-01,rice,44.1
2025-09-02,rice,44.0
2025-09-03,rice,43.9
2025-09-04,rice,44.2
2025-09-05,rice,44.3
2025-09-06,rice,44.0
2025-09-07,rice,43.8
2025-09-08,rice,44.1
2025-09-09,rice,44.2
2025-09-10,rice,43.9
2025-09-11,rice,44.0
2025-09-12,rice,44.4
2025-09-13,rice,44.1
2025-09-14,rice,43.7
2025-09-15,rice,44.0
2025-09-16,rice,44.2
2025-09-17,rice,44.1
2025-09-18,rice,44.3
2025-08-20,potato,28.5
2025-08-21,potato,28.2
2025-08-22,potato,28.0
2025-08-23,potato,28.6
2025-08-24,potato,28.4
2025-08-25,potato,28.1
2025-08-26,potato,28.3
2025-08-27,potato,28.5
2025-08-28,potato,28.2
2025-08-29,potato,28.4
2025-08-30,potato,28.6
2025-08-31,potato,28.3
2025-09-01,potato,28.5
2025-09-02,potato,28.4
2025-09-03,potato,28.2
2025-09-04,potato,28.5
2025-09-05,potato,28.6
2025-09-06,potato,28.3
2025-09-07,potato,28.1
2025-09-08,potato,28.4
2025-09-09,potato,28.5
2025-09-10,potato,28.2
2025-09-11,potato,28.3
2025-09-12,potato,28.6
2025-09-13,potato,28.4
2025-09-14,potato,28.1
2025-09-15,potato,28.5
2025-09-16,potato,28.4
2025-09-17,potato,28.3
2025-09-18,potato,28.5
2025-08-20,tomato,52.0
2025-08-21,tomato,51.5
2025-08-22,tomato,51.0
2025-08-23,tomato,52.5
2025-08-24,tomato,52.0
2025-08-25,tomato,51.2
2025-08-26,tomato,51.8
2025-08-27,tomato,52.2
2025-08-28,tomato,51.5
2025-08-29,tomato,52.0
2025-08-30,tomato,52.4
2025-08-31,tomato,51.6
2025-09-01,tomato,52.1
2025-09-02,tomato,51.9
2025-09-03,tomato,51.4
2025-09-04,tomato,52.0
2025-09-05,tomato,52.3
2025-09-06,tomato,51.7
2025-09-07,tomato,51.2
2025-09-08,tomato,52.0
2025-09-09,tomato,52.2
2025-09-10,tomato,51.5
2025-09-11,tomato,51.8
2025-09-12,tomato,52.5
2025-09-13,tomato,52.0
2025-09-14,tomato,51.3
2025-09-15,tomato,52.1
2025-09-16,tomato,52.0
2025-09-17,tomato,51.9
2025-09-18,tomato,52.2
